frequency_hz,magnitude,phase_rad
12.4,1.2102999573665968e-16,-2.164213107674094
12.5,1.8388899545260123e-16,-1.7619783034939678
12.600000000000001,2.2731857845753887e-16,-1.7528639894709945
12.700000000000001,1.9958713126379718e-16,-1.5247868921107155
12.8,1.9393137196473347e-16,-1.4908087342705367
12.9,1.6619722245143836e-16,-1.604378263077323
13.0,1.69837188359112e-16,-1.6331964151086211
13.100000000000001,1.8604889490358238e-16,-1.6479265998504988
13.200000000000001,1.8794512882361723e-16,-1.5864766700975432
13.3,1.8092227359233288e-16,-1.5644957429255664
13.4,1.7176743821873159e-16,-1.5039324408062953
13.5,1.673809375166916e-16,-1.5140217856679077
13.600000000000001,1.7435550542359366e-16,-1.631931530396392
13.700000000000001,1.7836661449523157e-16,-1.6222306996577616
13.8,1.8110285005583225e-16,-1.5794332095241397
13.9,1.6183755731261842e-16,-1.5337784128873129
14.0,1.6271964551477057e-16,-1.5483013246269521
14.100000000000001,1.6111949552129544e-16,-1.596343052964384
14.200000000000001,1.721173181369544e-16,-1.586531161656927
14.3,1.6617175577161552e-16,-1.6153453574826822
14.4,1.5767073193517142e-16,-1.5369437278935432
14.5,1.6310339169497584e-16,-1.5736206103506059
14.600000000000001,1.460553250399732e-16,-1.6095074473637405
14.700000000000001,1.5508427055898165e-16,-1.5600062702616397
14.8,1.5506614344524146e-16,-1.5887594008090802
14.9,1.4756067205997881e-16,-1.5701949032848905
15.0,1.4956875407399924e-16,-1.557138926527257
15.100000000000001,1.5064149388360333e-16,-1.6836935904342785
15.200000000000001,1.4740387495132618e-16,-1.5763030376797305
15.3,1.5395243487040763e-16,-1.613266913127272
15.4,1.4035179286758211e-16,-1.623830039132194
15.5,1.508852528362354e-16,-1.5889538519904478
15.600000000000001,1.6313458776926388e-16,-1.648357532497245
15.700000000000001,1.4951379018747644e-16,-1.4132966296172376
15.8,1.4888437903693118e-16,-1.7898773068323486
15.9,1.6111373677323508e-16,-1.4404038448369965
16.0,1.4739947605979214e-16,-1.4893652047878423
16.1,1.3557574185245207e-16,-1.4269628969036663
16.2,1.463145864031722e-16,-1.5385990303034893
16.3,1.2958656767880632e-16,-1.6288917754699586
16.400000000000002,1.4609137023418573e-16,-1.4411850725128228
16.5,1.301140088108302e-16,-1.5672047395905118
16.6,1.4238733988543703e-16,-1.6563794577380773
16.7,1.275359195077121e-16,-1.5002581851454957
16.8,1.4312651597880526e-16,-1.5485750624529593
16.900000000000002,1.3157999175907034e-16,-1.439450450263792
17.0,1.3263580770354738e-16,-1.4730976960346414
17.1,1.1686526343786086e-16,-1.485992667247256
17.2,1.22038927600337e-16,-1.5814249639716476
17.3,1.3572643588148416e-16,-1.659734363640137
17.400000000000002,1.4268360269899965e-16,-1.5491913188754898
17.5,1.5753502173811392e-16,-1.3922609401088046
17.6,1.3450620385465858e-16,-1.2385377442784977
17.7,1.124914142133735e-16,-1.176149484954502
17.8,6.177724604803487e-17,-1.2800061848069653
17.900000000000002,8.361161854996221e-17,-1.5830719698096722
18.0,1.2745860788960838e-16,-1.673462347554694
18.1,1.1108653604933142e-16,-1.608262529699707
18.2,1.1731747432206823e-16,-1.4495090566113285
18.3,9.063524377552606e-17,-1.527751729324681
18.400000000000002,1.0942057299339074e-16,-1.5552575500646406
18.5,1.1263684314598143e-16,-1.6229931564330355
18.6,1.1644592691150322e-16,-1.581902725545791
18.7,1.2025395560038797e-16,-1.5858713264203221
18.8,1.1603631576181163e-16,-1.3631855985756833
18.900000000000002,9.208661538763951e-17,-1.5867973270279563
19.0,1.1020044919682153e-16,-1.6143189699692864
19.1,1.1544959401560947e-16,-1.5988568353492698
19.200000000000003,1.159716714022766e-16,-1.5064333277531186
19.3,1.0722608033927768e-16,-1.4913315006198573
19.400000000000002,9.643091255555071e-17,-1.445686220733067
19.5,1.0117553634281625e-16,-1.6071873059362016
19.6,1.0729466688873869e-16,-1.6291663749935943
19.700000000000003,1.140505581429496e-16,-1.5666770091262716
19.8,1.0254055238039664e-16,-1.507707098934204
19.900000000000002,9.725385482901074e-17,-1.5400724691393806
20.0,9.204431826984821e-17,-1.6032992433422584
20.1,1.1650062836071702e-16,-1.684068500575278
20.200000000000003,1.157808466736466e-16,-1.5935728982513029
20.3,1.1073458001405892e-16,-1.5395974559281864
20.400000000000002,9.59170450044405e-17,-1.4973501243069165
20.5,1.0089325543924781e-16,-1.5678875632540248
20.6,1.0544573084248555e-16,-1.681145422886962
20.700000000000003,1.0506683826983758e-16,-1.5808341440275118
20.8,1.112429499762961e-16,-1.5932009153998852
20.900000000000002,8.628350053139557e-17,-1.4266512860104708
21.0,1.3418632775566027e-16,-1.5695647711977492
21.1,7.926877330795424e-17,-1.821706690454376
21.200000000000003,8.762753760740147e-17,-1.7709648372244975
21.3,1.333361696688426e-16,-1.7104383438563076
21.400000000000002,9.647280013851597e-17,-2.638099527176055
21.5,3.698262258310209e-16,-1.5763738414471689
21.6,1.2824803663540243e-16,-0.08172329826329539
21.700000000000003,1.3579469886380107e-16,-1.5142356825163614
21.8,8.407952448368057e-17,-1.5412671708301484
21.900000000000002,1.611126674512745e-16,-1.0590558563397348
22.0,9.495461941271399e-17,-1.1938413072629868
22.1,1.0177978409191077e-16,0.12040956413704187
22.200000000000003,1.5299192524473154e-16,-2.4036532840920724
22.3,1.47863803919046e-16,-0.5123158497526554
22.400000000000002,5.69176045892302e-17,3.139492123729506
22.5,9.188011854392323e-17,-1.9565110248744346
22.6,1.1697062413098796e-16,-1.7456696568412133
22.700000000000003,1.1087419918255514e-16,-1.454833768467252
22.8,8.663772123865667e-17,-1.3769804638432062
22.900000000000002,8.466195902091279e-17,-1.26119085525727
23.0,3.434649584227519e-17,-1.7776306420857886
23.1,1.1132097610688421e-16,-1.8855524541970388
23.200000000000003,9.032704135707323e-17,-1.5728154213969876
23.3,9.197750430856189e-17,-1.5336361987604388
23.400000000000002,7.490926490710262e-17,-1.5080045610392419
23.5,8.308049230340966e-17,-1.5999896037028805
23.6,9.171954267163091e-17,-1.6669604992335731
